Date,Open,High,Low,Close,Volume,Adj Close
2011-01-06,1.45,1.50,1.443,1.45,1858000,14.50
2011-01-05,1.525,1.509,1.40,1.45,955400,14.50
2011-01-04,1.50,1.60,1.45,1.525,1746900,15.25
2010-12-31,1.50,1.60,1.37,1.475,808000,14.75
2010-12-30,1.375,1.85,1.35,1.50,4071300,15.00
2010-12-29,1.35,1.40,1.30,1.375,1622100,13.75
2010-12-27,1.35,1.35,1.35,1.35,000,13.50
2010-12-24,1.35,1.40,1.301,1.35,270200,13.50
2010-12-23,1.375,1.40,1.30,1.35,295100,13.50
2010-12-22,1.375,1.40,1.35,1.375,492800,13.75
2010-12-21,1.375,1.41,1.35,1.375,172500,13.75
2010-12-20,1.35,1.39,1.30,1.375,317900,13.75
2010-12-17,1.30,1.40,1.30,1.35,647300,13.50
2010-12-16,1.30,1.30,1.30,1.30,597100,13.00
2010-12-15,1.45,1.43,1.25,1.35,263100,13.50
2010-12-14,1.45,1.45,1.40,1.45,330900,14.50
2010-12-13,1.475,1.464,1.25,1.45,259300,14.50
2010-12-10,1.375,1.496,1.308,1.475,694500,14.75
2010-12-09,1.425,1.41,1.25,1.375,272600,13.75
2010-12-08,1.40,1.45,1.35,1.425,151400,14.25
2010-12-07,1.45,1.47,1.25,1.40,1758300,14.00
2010-12-06,1.45,1.47,1.305,1.45,267900,14.50
2010-12-03,1.475,1.55,1.40,1.45,375300,14.50
2010-12-02,1.525,1.60,1.40,1.475,195900,14.75
2010-12-01,1.55,1.60,1.45,1.525,728800,15.25
2010-11-30,1.525,1.55,1.45,1.55,59900,15.50
2010-11-29,1.60,1.70,1.45,1.525,388000,15.25
2010-11-26,1.525,1.60,1.50,1.60,164400,16.00
2010-11-25,1.60,1.565,1.50,1.525,88000,15.25
2010-11-24,1.60,1.60,1.50,1.60,81400,16.00
2010-11-23,1.725,1.725,1.50,1.60,273600,16.00
2010-11-22,1.75,1.795,1.60,1.725,154900,17.25
2010-11-19,1.75,1.80,1.60,1.75,382300,17.50
2010-11-18,1.875,1.85,1.60,1.75,968700,17.50
2010-11-17,2.025,2.04,1.75,1.875,971100,18.75
2010-11-16,1.95,2.235,1.989,2.05,1293200,20.50
2010-11-15,1.825,2.15,1.77,1.95,1737200,19.50
2010-11-12,1.50,1.85,1.438,1.75,1097700,17.50
2010-11-11,1.35,1.55,1.307,1.475,165900,14.75
2010-11-10,1.425,1.445,1.35,1.35,99100,13.50
2010-11-09,1.425,1.449,1.33,1.425,238000,14.25
2010-11-08,1.55,1.50,1.35,1.425,42700,14.25
2010-11-05,1.575,1.649,1.40,1.55,130800,15.50
2010-11-04,1.575,1.575,1.45,1.575,24100,15.75
2010-11-03,1.575,1.575,1.40,1.575,53000,15.75
2010-11-02,1.575,1.65,1.50,1.575,45200,15.75
2010-11-01,1.625,1.611,1.50,1.575,73200,15.75
2010-10-29,1.625,1.625,1.50,1.625,77700,16.25
2010-10-28,1.625,1.625,1.60,1.625,94700,16.25
2010-10-27,1.675,1.71,1.60,1.625,69100,16.25
2010-10-26,1.725,1.75,1.60,1.675,147100,16.75
2010-10-25,1.75,1.748,1.60,1.725,42500,17.25
2010-10-22,1.75,1.75,1.65,1.75,41400,17.50
2010-10-21,1.725,1.798,1.60,1.748,42600,17.48
2010-10-20,1.825,1.84,1.65,1.65,239800,16.50
2010-10-19,1.85,1.889,1.76,1.76,116100,17.60
2010-10-18,1.775,1.95,1.653,1.802,609200,18.02
2010-10-15,1.775,1.893,1.65,1.675,167600,16.75
2010-10-14,1.60,1.878,1.625,1.775,679500,17.75
2010-10-13,1.45,1.70,1.401,1.70,166700,17.00
2010-10-12,1.45,1.499,1.42,1.42,105500,14.20
2010-10-11,1.425,1.479,1.40,1.45,46800,14.50
2010-10-08,1.425,1.498,1.35,1.425,274000,14.25
2010-10-07,1.45,1.468,1.40,1.425,93600,14.25
2010-10-06,1.475,1.50,1.40,1.45,149200,14.50
2010-10-05,1.475,1.50,1.45,1.475,226400,14.75
2010-10-04,1.425,1.494,1.425,1.463,67300,14.63
2010-10-01,1.425,1.50,1.33,1.385,130700,13.85
2010-09-30,1.425,1.45,1.305,1.425,180000,14.25
2010-09-29,1.60,1.575,1.30,1.425,486600,14.25
2010-09-28,1.60,1.625,1.50,1.60,157700,16.00
2010-09-27,1.35,1.70,1.375,1.60,669200,16.00
2010-09-24,1.225,1.40,1.208,1.35,783700,13.50
2010-09-23,1.225,1.238,1.20,1.225,72100,12.25
2010-09-22,1.20,1.23,1.10,1.225,158900,12.25
2010-09-21,1.25,1.225,1.15,1.20,428700,12.00
2010-09-20,1.325,1.323,1.15,1.25,309100,12.50
2010-09-17,1.375,1.36,1.30,1.325,184100,13.25
2010-09-16,1.375,1.37,1.35,1.36,42700,13.60
2010-09-15,1.41,1.409,1.32,1.375,213000,13.75
2010-09-14,1.41,1.42,1.35,1.41,268300,14.10
2010-09-13,1.30,1.43,1.30,1.41,1023400,14.10
2010-09-10,1.175,1.45,1.195,1.31,1168200,13.10
2010-09-09,1.175,1.20,1.10,1.175,63900,11.75
2010-09-08,1.175,1.205,1.115,1.175,18700,11.75
2010-09-07,1.175,1.25,1.10,1.175,1160000,11.75
2010-09-06,1.175,1.175,1.10,1.175,44300,11.75
2010-09-03,1.175,1.175,1.103,1.175,27000,11.75
2010-09-02,1.175,1.19,1.103,1.175,15300,11.75
2010-09-01,1.25,1.23,1.175,1.175,182800,11.75
2010-08-31,1.25,1.25,1.20,1.25,42400,12.50
2010-08-30,1.25,1.25,1.25,1.25,000,12.50
2010-08-27,1.25,1.25,1.201,1.22,54900,12.20
2010-08-26,1.25,1.25,1.201,1.25,68300,12.50
2010-08-25,1.25,1.30,1.201,1.25,15700,12.50
2010-08-24,1.25,1.25,1.20,1.25,44000,12.50
2010-08-23,1.25,1.25,1.25,1.25,4500,12.50
2010-08-20,1.25,1.30,1.20,1.25,109300,12.50
2010-08-19,1.25,1.25,1.201,1.25,400,12.50
2010-08-18,1.25,1.25,1.20,1.25,36800,12.50
2010-08-17,1.25,1.25,1.20,1.25,37000,12.50
2010-08-16,1.25,1.25,1.20,1.25,36900,12.50
2010-08-13,1.25,1.233,1.20,1.233,31200,12.33
2010-08-12,1.25,1.25,1.23,1.25,161100,12.50
2010-08-11,1.25,1.235,1.232,1.232,13000,12.32
2010-08-10,1.25,1.233,1.216,1.232,27400,12.32
2010-08-09,1.25,1.25,1.20,1.25,43300,12.50
2010-08-06,1.25,1.25,1.235,1.25,7200,12.50
2010-08-05,1.25,1.30,1.20,1.27,1156800,12.70
2010-08-04,1.25,1.25,1.20,1.25,8000,12.50
2010-08-03,1.25,1.25,1.20,1.25,31600,12.50
2010-08-02,1.25,1.25,1.20,1.25,23100,12.50
2010-07-30,1.25,1.30,1.20,1.25,189100,12.50
2010-07-29,1.25,1.25,1.24,1.25,6300,12.50
2010-07-28,1.25,1.25,1.00,1.25,206500,12.50
